,company,model,engine,engine2,year,km,location,money
41,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
42,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
43,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
44,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
45,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
46,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
47,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
48,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
49,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
50,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
51,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
52,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
53,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
54,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
55,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
56,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
57,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
58,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
59,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
60,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
61,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
62,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
63,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
64,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
65,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
66,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
67,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
68,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
69,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
70,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
71,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
72,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
73,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
74,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
75,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
76,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
77,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
78,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
79,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
80,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
81,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
82,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
83,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
84,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
85,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
86,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
87,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
88,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
89,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
90,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
91,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
92,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
93,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
94,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
95,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
96,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
97,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
98,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
99,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
100,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
101,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
102,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
103,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
104,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
105,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
106,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
107,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
108,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
109,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
110,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
